item,itemLabel
http://www.wikidata.org/entity/Q29382922,Étagère
http://www.wikidata.org/entity/Q688745,accoudoir
http://www.wikidata.org/entity/Q60754217,Andiron
http://www.wikidata.org/entity/Q89803501,Arca
http://www.wikidata.org/entity/Q107194217,arcaz
http://www.wikidata.org/entity/Q89803520,Argolas
http://www.wikidata.org/entity/Q65771796,Armário
http://www.wikidata.org/entity/Q29383030,Armchair
http://www.wikidata.org/entity/Q2822867,armrest
http://www.wikidata.org/entity/Q16530557,Athénienne
http://www.wikidata.org/entity/Q89806271,Baú
http://www.wikidata.org/entity/Q107338566,bank
http://www.wikidata.org/entity/Q42177,bed
http://www.wikidata.org/entity/Q107194237,bier
http://www.wikidata.org/entity/Q107194245,binder
http://www.wikidata.org/entity/Q2910277,bonnetière
http://www.wikidata.org/entity/Q60741875,Bookcase
http://www.wikidata.org/entity/Q89808214,Cômoda
http://www.wikidata.org/entity/Q61755679,Cômoda-Lavatório
http://www.wikidata.org/entity/Q89812028,Cabide
http://www.wikidata.org/entity/Q29382881,Cabinet
http://www.wikidata.org/entity/Q107194220,cabinet-library
http://www.wikidata.org/entity/Q16868432,cabinetry
http://www.wikidata.org/entity/Q20198349,Cabinet-vitrine
http://www.wikidata.org/entity/Q89806179,Cama
http://www.wikidata.org/entity/Q60759780,Candelabrum
http://www.wikidata.org/entity/Q60756706,Candlestick
http://www.wikidata.org/entity/Q60739993,Candlesticks
http://www.wikidata.org/entity/Q28870500,caning
http://www.wikidata.org/entity/Q98608927,canterbury
http://www.wikidata.org/entity/Q60754192,Casket
http://www.wikidata.org/entity/Q60758818,Cellarette
http://www.wikidata.org/entity/Q15026,chair
http://www.wikidata.org/entity/Q107194216,chest
http://www.wikidata.org/entity/Q131514,chesterfield
http://www.wikidata.org/entity/Q60759419,Chest-on-Chest
http://www.wikidata.org/entity/Q643661,chifforobe
http://www.wikidata.org/entity/Q56293463,chigaidana
http://www.wikidata.org/entity/Q60756632,Clock
http://www.wikidata.org/entity/Q1723368,closet
http://www.wikidata.org/entity/Q107194222,closet-showcase
http://www.wikidata.org/entity/Q107194244,coffin
http://www.wikidata.org/entity/Q89807587,Cofre
http://www.wikidata.org/entity/Q20200692,Commode
http://www.wikidata.org/entity/Q107194233,conversadeira
http://www.wikidata.org/entity/Q131514,couch
http://www.wikidata.org/entity/Q107194231,counter
http://www.wikidata.org/entity/Q599007,countertop
http://www.wikidata.org/entity/Q29383090,Cupboard
http://www.wikidata.org/entity/Q1064858,desk
http://www.wikidata.org/entity/Q89809179,Dossel
http://www.wikidata.org/entity/Q1997167,Dressers
http://www.wikidata.org/entity/Q107194223,duchess
http://www.wikidata.org/entity/Q1346001,Enzi
http://www.wikidata.org/entity/Q89809453,Escrivaninha
http://www.wikidata.org/entity/Q5848719,Estalo
http://www.wikidata.org/entity/Q89809915,Estante
http://www.wikidata.org/entity/Q89809971,Estrado
http://www.wikidata.org/entity/Q3067573,Faux-palier
http://www.wikidata.org/entity/Q14973416,footstool
http://www.wikidata.org/entity/Q93765452,Four
http://www.wikidata.org/entity/Q837593,futon
http://www.wikidata.org/entity/Q107194227,haberdasher
http://www.wikidata.org/entity/Q107194225,hanger
http://www.wikidata.org/entity/Q4858753,Hatstand
http://www.wikidata.org/entity/Q6105860,headrest
http://www.wikidata.org/entity/Q60757097,Highboy
http://www.wikidata.org/entity/Q5950543,hutch
http://www.wikidata.org/entity/Q3667020,icebox
http://www.wikidata.org/entity/Q20918457,Kari
http://www.wikidata.org/entity/Q95966197,kast
http://www.wikidata.org/entity/Q20198696,Lamp
http://www.wikidata.org/entity/Q1138737,lamp
http://www.wikidata.org/entity/Q390539,lectern
http://www.wikidata.org/entity/Q89812737,Leito
http://www.wikidata.org/entity/Q72200,Loveseat
http://www.wikidata.org/entity/Q89813229,Maçaneta
http://www.wikidata.org/entity/Q60745718,Mantel
http://www.wikidata.org/entity/Q107194248,medalist
http://www.wikidata.org/entity/Q89814487,Mesa
http://www.wikidata.org/entity/Q107194235,mirror
http://www.wikidata.org/entity/Q107194234,office
http://www.wikidata.org/entity/Q7095369,Oonjal
http://www.wikidata.org/entity/Q60761096,Pedestal
http://www.wikidata.org/entity/Q89815224,Pinos
http://www.wikidata.org/entity/Q605068,playpen
http://www.wikidata.org/entity/Q89816939,Prendedores
http://www.wikidata.org/entity/Q2115878,psyche
http://www.wikidata.org/entity/Q1048419,radiogram
http://www.wikidata.org/entity/Q6071487,Rahle
http://www.wikidata.org/entity/Q20191934,Screen
http://www.wikidata.org/entity/Q29383055,Screen
http://www.wikidata.org/entity/Q2207370,seat
http://www.wikidata.org/entity/Q20199021,Seating
http://www.wikidata.org/entity/Q60780866,Secretary
http://www.wikidata.org/entity/Q29382917,Secretary-bookcase
http://www.wikidata.org/entity/Q29383062,Settee
http://www.wikidata.org/entity/Q2637814,shelf
http://www.wikidata.org/entity/Q60747454,Sideboard
http://www.wikidata.org/entity/Q29382950,Sofa
http://www.wikidata.org/entity/Q7573007,spalliera
http://www.wikidata.org/entity/Q11704055,stand
http://www.wikidata.org/entity/Q60753965,Stool
http://www.wikidata.org/entity/Q10831818,Tủ
http://www.wikidata.org/entity/Q29382959,Tête-à-tête
http://www.wikidata.org/entity/Q14748,table
http://www.wikidata.org/entity/Q18413342,Tapchan
http://www.wikidata.org/entity/Q31841902,Trapeza
http://www.wikidata.org/entity/Q1444534,tripod
http://www.wikidata.org/entity/Q89818379,Vitrina
http://www.wikidata.org/entity/Q3561331,vitrine
http://www.wikidata.org/entity/Q2534928,Voyeuse
http://www.wikidata.org/entity/Q60746350,Wardrobe
http://www.wikidata.org/entity/Q3775122,washstand
