item,itemLabel
http://www.wikidata.org/entity/Q3392302,90-45-45 set square
http://www.wikidata.org/entity/Q106512352,Apollo Lunar Surface Drill
http://www.wikidata.org/entity/Q106206420,Arco de Pua com Catraca
http://www.wikidata.org/entity/Q106206422,Arco de Serra
http://www.wikidata.org/entity/Q440418,blind rivetting tool
http://www.wikidata.org/entity/Q80001199,Bone Awl with Beaded Case
http://www.wikidata.org/entity/Q107196660,bow saw blade
http://www.wikidata.org/entity/Q80056405,Box of Architectural Instruments
http://www.wikidata.org/entity/Q79499518,Brace and Bit
http://www.wikidata.org/entity/Q61766216,Broca de Púa
http://www.wikidata.org/entity/Q100364610,Bronze cylindrical tool hande
http://www.wikidata.org/entity/Q16849743,business management tools
http://www.wikidata.org/entity/Q80013211,Case for Chopstick and Knife Kit -Souvenir Trade
http://www.wikidata.org/entity/Q80013201,Case for Kit with Chopsticks and Knife - Souvenir Trade
http://www.wikidata.org/entity/Q106207132,Catraca de Furar
http://www.wikidata.org/entity/Q98857270,Champagne bottle opener
http://www.wikidata.org/entity/Q61765054,Chave de Boca
http://www.wikidata.org/entity/Q61765059,Chave de Estiva
http://www.wikidata.org/entity/Q61764899,Chave de Fenda
http://www.wikidata.org/entity/Q61765062,Chave de Mandril
http://www.wikidata.org/entity/Q61765066,Chave de Porca
http://www.wikidata.org/entity/Q61765084,Chave de Vela
http://www.wikidata.org/entity/Q106207251,Chave para Porca
http://www.wikidata.org/entity/Q106207254,Chave para Porcas
http://www.wikidata.org/entity/Q80013208,Chopstick and Knife Kit -Souvenir Trade
http://www.wikidata.org/entity/Q80013213,Chopstick for Chopstick and Knife Kit -Souvenir Trade
http://www.wikidata.org/entity/Q80013203,Chopstick for Kit with Chopsticks and Knife - Souvenir Trade
http://www.wikidata.org/entity/Q3356669,combs in Basque mythology
http://www.wikidata.org/entity/Q107196681,data processors and accessories
http://www.wikidata.org/entity/Q1792645,dead blow hammer
http://www.wikidata.org/entity/Q60661815,digital media use and mental health
http://www.wikidata.org/entity/Q79500207,Dividers with Regulator
http://www.wikidata.org/entity/Q79934777,Duck-Billed Axe Head
http://www.wikidata.org/entity/Q5350272,Ekahau Site Survey
http://www.wikidata.org/entity/Q107196675,electric planer manual
http://www.wikidata.org/entity/Q107196653,electric steam iron
http://www.wikidata.org/entity/Q61764900,Espátula de Vidraceiro
