item,itemLabel
http://www.wikidata.org/entity/Q20192152,Room Divider
http://www.wikidata.org/entity/Q60758459,Wisteria Lamp
http://www.wikidata.org/entity/Q20198727,Dressing Cabinet
http://www.wikidata.org/entity/Q60752148,Abbot's Stall
http://www.wikidata.org/entity/Q306690,Abbotsford style
http://www.wikidata.org/entity/Q4752957,ancient furniture
http://www.wikidata.org/entity/Q17049620,Animal furniture
http://www.wikidata.org/entity/Q4775179,antique furniture
http://www.wikidata.org/entity/Q89803507,Arca Bau
http://www.wikidata.org/entity/Q89803513,Arca Canastra
http://www.wikidata.org/entity/Q85834701,architectural furniture
http://www.wikidata.org/entity/Q89803537,Armário Armário-Estante
http://www.wikidata.org/entity/Q89803543,Armário Guarda-Comida
http://www.wikidata.org/entity/Q89803545,Armário Guarda-Louça
http://www.wikidata.org/entity/Q89803548,Armário Guarda-Roupa
http://www.wikidata.org/entity/Q89803560,Armário Vitrina-Armário
http://www.wikidata.org/entity/Q89803563,Armário Vitrine
http://www.wikidata.org/entity/Q61755677,Armário: Guarda-Roupa
http://www.wikidata.org/entity/Q16836622,Baby furniture
http://www.wikidata.org/entity/Q56408685,Bed tables
http://www.wikidata.org/entity/Q147268,beer tap
http://www.wikidata.org/entity/Q97622512,Beijing-style furniture
http://www.wikidata.org/entity/Q2339192,book chest
http://www.wikidata.org/entity/Q29382878,Bureau table
http://www.wikidata.org/entity/Q5027833,campaign furniture
http://www.wikidata.org/entity/Q60746548,Candle Bracket
http://www.wikidata.org/entity/Q60756583,Candle Stand
http://www.wikidata.org/entity/Q29383071,Card table
http://www.wikidata.org/entity/Q60757519,Center Table
http://www.wikidata.org/entity/Q95968272,chair back
http://www.wikidata.org/entity/Q1059232,chaise longue
http://www.wikidata.org/entity/Q95980334,cheval glass
http://www.wikidata.org/entity/Q14523624,choir screen
http://www.wikidata.org/entity/Q107194240,church shelf
http://www.wikidata.org/entity/Q639783,Clothes valet
http://www.wikidata.org/entity/Q89807607,Cofre Portátil
http://www.wikidata.org/entity/Q29383557,Coin cabinet
http://www.wikidata.org/entity/Q60741794,Console Table
http://www.wikidata.org/entity/Q60741338,Corner Cabinet
http://www.wikidata.org/entity/Q60740350,Corner Cabinet
http://www.wikidata.org/entity/Q29382948,Corner chair
http://www.wikidata.org/entity/Q61930931,Coromandel lacquer
http://www.wikidata.org/entity/Q55393610,cue stand
http://www.wikidata.org/entity/Q60758206,Curule Chair
http://www.wikidata.org/entity/Q107194253,cylinder desk
http://www.wikidata.org/entity/Q107194247,day bed
http://www.wikidata.org/entity/Q107194228,dresser-litter bin
http://www.wikidata.org/entity/Q29383641,Drop-front desk
http://www.wikidata.org/entity/Q29383549,Drop-front secretary
http://www.wikidata.org/entity/Q29382919,Easy Chair
http://www.wikidata.org/entity/Q5380479,entertainment center
http://www.wikidata.org/entity/Q89809542,Escrivaninha Cômoda-Escrivaninha
http://www.wikidata.org/entity/Q89809534,Escrivaninha Portátil
http://www.wikidata.org/entity/Q89809924,Estante Infantil
http://www.wikidata.org/entity/Q60756133,Fall-front Secretary
