item,itemLabel
http://www.wikidata.org/entity/Q20192152,Room Divider
http://www.wikidata.org/entity/Q20191934,Screen
http://www.wikidata.org/entity/Q20199021,Seating
http://www.wikidata.org/entity/Q20198696,Lamp
http://www.wikidata.org/entity/Q60758459,Wisteria Lamp
http://www.wikidata.org/entity/Q20198727,Dressing Cabinet
http://www.wikidata.org/entity/Q29382922,Étagère
http://www.wikidata.org/entity/Q60752148,Abbot's Stall
http://www.wikidata.org/entity/Q306690,Abbotsford style
http://www.wikidata.org/entity/Q688745,accoudoir
http://www.wikidata.org/entity/Q4752957,ancient furniture
http://www.wikidata.org/entity/Q60754217,Andiron
http://www.wikidata.org/entity/Q17049620,Animal furniture
http://www.wikidata.org/entity/Q4775179,antique furniture
http://www.wikidata.org/entity/Q89803501,Arca
http://www.wikidata.org/entity/Q89803507,Arca Bau
http://www.wikidata.org/entity/Q89803513,Arca Canastra
http://www.wikidata.org/entity/Q89803518,Arca Mala de Viagem
http://www.wikidata.org/entity/Q107194217,arcaz
http://www.wikidata.org/entity/Q85834701,architectural furniture
http://www.wikidata.org/entity/Q89803520,Argolas
http://www.wikidata.org/entity/Q65771796,Armário
http://www.wikidata.org/entity/Q89803537,Armário Armário-Estante
http://www.wikidata.org/entity/Q89803543,Armário Guarda-Comida
http://www.wikidata.org/entity/Q89803545,Armário Guarda-Louça
http://www.wikidata.org/entity/Q89803548,Armário Guarda-Roupa
http://www.wikidata.org/entity/Q89803560,Armário Vitrina-Armário
http://www.wikidata.org/entity/Q89803563,Armário Vitrine
http://www.wikidata.org/entity/Q61755677,Armário: Guarda-Roupa
http://www.wikidata.org/entity/Q29383030,Armchair
http://www.wikidata.org/entity/Q2822867,armrest
http://www.wikidata.org/entity/Q63096220,Arredo camera da letto
http://www.wikidata.org/entity/Q16530557,Athénienne
http://www.wikidata.org/entity/Q10422378,Augsburg Art Cabinet
http://www.wikidata.org/entity/Q89806271,Baú
http://www.wikidata.org/entity/Q65771811,Baú de viagem
http://www.wikidata.org/entity/Q16836622,Baby furniture
http://www.wikidata.org/entity/Q61911838,Bahut-étagère la berce des près
http://www.wikidata.org/entity/Q107338566,bank
http://www.wikidata.org/entity/Q42177,bed
http://www.wikidata.org/entity/Q56408685,Bed tables
http://www.wikidata.org/entity/Q147268,beer tap
http://www.wikidata.org/entity/Q97622512,Beijing-style furniture
http://www.wikidata.org/entity/Q107194237,bier
http://www.wikidata.org/entity/Q107194245,binder
http://www.wikidata.org/entity/Q2910277,bonnetière
http://www.wikidata.org/entity/Q30107620,bonsai display table
http://www.wikidata.org/entity/Q2339192,book chest
http://www.wikidata.org/entity/Q60741875,Bookcase
http://www.wikidata.org/entity/Q60758813,Box with Military Scenes from Antiquity
http://www.wikidata.org/entity/Q29382878,Bureau table
http://www.wikidata.org/entity/Q89808214,Cômoda
http://www.wikidata.org/entity/Q61755679,Cômoda-Lavatório
http://www.wikidata.org/entity/Q89812028,Cabide
http://www.wikidata.org/entity/Q89812048,Cabide de Pé
http://www.wikidata.org/entity/Q29382881,Cabinet
http://www.wikidata.org/entity/Q29383668,Cabinet on stand
http://www.wikidata.org/entity/Q107194220,cabinet-library
http://www.wikidata.org/entity/Q16868432,cabinetry
http://www.wikidata.org/entity/Q20198349,Cabinet-vitrine
http://www.wikidata.org/entity/Q65771836,Cadeira furada feminina
http://www.wikidata.org/entity/Q65771837,Cadeira furada masculina
http://www.wikidata.org/entity/Q89806179,Cama
http://www.wikidata.org/entity/Q5027833,campaign furniture
http://www.wikidata.org/entity/Q60759780,Candelabrum
http://www.wikidata.org/entity/Q60746548,Candle Bracket
http://www.wikidata.org/entity/Q60756669,Candle Bracket Pair
http://www.wikidata.org/entity/Q60756583,Candle Stand
http://www.wikidata.org/entity/Q60756706,Candlestick
http://www.wikidata.org/entity/Q60739993,Candlesticks
http://www.wikidata.org/entity/Q28870500,caning
http://www.wikidata.org/entity/Q98608927,canterbury
http://www.wikidata.org/entity/Q100729386,"Caps for furniture, Yale University Art Gallery, inv. 1938.5999.3914"
http://www.wikidata.org/entity/Q29383071,Card table
http://www.wikidata.org/entity/Q60754192,Casket
http://www.wikidata.org/entity/Q102963048,Cassone from the Colonna family
http://www.wikidata.org/entity/Q102963052,Cassone with Mannerist Design Elements
http://www.wikidata.org/entity/Q60758818,Cellarette
http://www.wikidata.org/entity/Q60757519,Center Table
http://www.wikidata.org/entity/Q15026,chair
http://www.wikidata.org/entity/Q95968272,chair back
http://www.wikidata.org/entity/Q60753246,Chair or Bed Leg with the God Bes
http://www.wikidata.org/entity/Q1059232,chaise longue
http://www.wikidata.org/entity/Q107194216,chest
http://www.wikidata.org/entity/Q60746250,Chest of Drawers
http://www.wikidata.org/entity/Q131514,chesterfield
http://www.wikidata.org/entity/Q60759419,Chest-on-Chest
http://www.wikidata.org/entity/Q95980334,cheval glass
http://www.wikidata.org/entity/Q643661,chifforobe
http://www.wikidata.org/entity/Q56293463,chigaidana
http://www.wikidata.org/entity/Q14523624,choir screen
http://www.wikidata.org/entity/Q107194240,church shelf
http://www.wikidata.org/entity/Q97621371,Classic Chinese furniture
http://www.wikidata.org/entity/Q60756632,Clock
http://www.wikidata.org/entity/Q1723368,closet
http://www.wikidata.org/entity/Q107194222,closet-showcase
http://www.wikidata.org/entity/Q639783,Clothes valet
http://www.wikidata.org/entity/Q107194244,coffin
http://www.wikidata.org/entity/Q89807587,Cofre
http://www.wikidata.org/entity/Q89807607,Cofre Portátil
http://www.wikidata.org/entity/Q29383557,Coin cabinet
http://www.wikidata.org/entity/Q20200692,Commode
http://www.wikidata.org/entity/Q29383651,Commode à vantaux
http://www.wikidata.org/entity/Q3815563,Confidant from the Batlló House
http://www.wikidata.org/entity/Q60741794,Console Table
http://www.wikidata.org/entity/Q60756790,"Console Table Depicting Chronos, or Father Time"
http://www.wikidata.org/entity/Q60740818,Console Table Top
http://www.wikidata.org/entity/Q107194233,conversadeira
http://www.wikidata.org/entity/Q60741338,Corner Cabinet
http://www.wikidata.org/entity/Q60740350,Corner Cabinet
http://www.wikidata.org/entity/Q29382948,Corner chair
http://www.wikidata.org/entity/Q61930931,Coromandel lacquer
http://www.wikidata.org/entity/Q131514,couch
http://www.wikidata.org/entity/Q107194231,counter
http://www.wikidata.org/entity/Q599007,countertop
http://www.wikidata.org/entity/Q55393610,cue stand
http://www.wikidata.org/entity/Q29383090,Cupboard
http://www.wikidata.org/entity/Q60758206,Curule Chair
http://www.wikidata.org/entity/Q107194253,cylinder desk
http://www.wikidata.org/entity/Q60740021,Daffodil Table Lamp
http://www.wikidata.org/entity/Q107194247,day bed
http://www.wikidata.org/entity/Q1064858,desk
http://www.wikidata.org/entity/Q29382914,Desk and Bookcase
http://www.wikidata.org/entity/Q60740552,Door and Frame
http://www.wikidata.org/entity/Q60759878,Door to Gothic Marriage Chest
http://www.wikidata.org/entity/Q60781073,"Doorway from the Isaac Gillet House, Painesville, Ohio"
http://www.wikidata.org/entity/Q89809179,Dossel
http://www.wikidata.org/entity/Q107194228,dresser-litter bin
http://www.wikidata.org/entity/Q1997167,Dressers
http://www.wikidata.org/entity/Q29383641,Drop-front desk
http://www.wikidata.org/entity/Q29383549,Drop-front secretary
http://www.wikidata.org/entity/Q107194223,duchess
http://www.wikidata.org/entity/Q33850087,Eames Storage Unit
http://www.wikidata.org/entity/Q29382919,Easy Chair
http://www.wikidata.org/entity/Q5380479,entertainment center
http://www.wikidata.org/entity/Q56229096,entrance desk S.M.A.K. Gent
http://www.wikidata.org/entity/Q1346001,Enzi
http://www.wikidata.org/entity/Q89809453,Escrivaninha
http://www.wikidata.org/entity/Q89809542,Escrivaninha Cômoda-Escrivaninha
http://www.wikidata.org/entity/Q89809534,Escrivaninha Portátil
http://www.wikidata.org/entity/Q5848719,Estalo
http://www.wikidata.org/entity/Q89809915,Estante
http://www.wikidata.org/entity/Q89809924,Estante Infantil
http://www.wikidata.org/entity/Q89809971,Estrado
http://www.wikidata.org/entity/Q60756133,Fall-front Secretary
http://www.wikidata.org/entity/Q3067573,Faux-palier
http://www.wikidata.org/entity/Q60762909,Fire Screen and Textile Panels
http://www.wikidata.org/entity/Q60741525,Flower Stand
http://www.wikidata.org/entity/Q15479103,folding stool
http://www.wikidata.org/entity/Q107194242,foot shelf
http://www.wikidata.org/entity/Q14973416,footstool
http://www.wikidata.org/entity/Q93765452,Four
http://www.wikidata.org/entity/Q3256522,four-poster bed
http://www.wikidata.org/entity/Q28803767,furniture component
http://www.wikidata.org/entity/Q106873717,"Furniture, AO 28428, Department of Near Eastern Antiquities of the Louvre"
http://www.wikidata.org/entity/Q837593,futon
http://www.wikidata.org/entity/Q20198732,Gallery Structure
http://www.wikidata.org/entity/Q60740234,Gaming Table
http://www.wikidata.org/entity/Q2744736,garden furniture
http://www.wikidata.org/entity/Q107015775,giant furniture
http://www.wikidata.org/entity/Q60740283,Gothic Marriage Chest
http://www.wikidata.org/entity/Q60778169,Gothic Marriage Chest
http://www.wikidata.org/entity/Q97622618,Guangzhou-style furniture
http://www.wikidata.org/entity/Q107194227,haberdasher
http://www.wikidata.org/entity/Q107194225,hanger
http://www.wikidata.org/entity/Q107194226,hanger floor
http://www.wikidata.org/entity/Q4858753,Hatstand
http://www.wikidata.org/entity/Q6105860,headrest
http://www.wikidata.org/entity/Q29382927,High chest of drawers
http://www.wikidata.org/entity/Q60757097,Highboy
http://www.wikidata.org/entity/Q1590990,home apothecary
http://www.wikidata.org/entity/Q5950543,hutch
http://www.wikidata.org/entity/Q3667020,icebox
http://www.wikidata.org/entity/Q20918457,Kari
http://www.wikidata.org/entity/Q95966197,kast
http://www.wikidata.org/entity/Q107194246,keeps food
http://www.wikidata.org/entity/Q2425869,kitchen sink
http://www.wikidata.org/entity/Q107194239,knickknacks shelf
http://www.wikidata.org/entity/Q97621376,lacquered furniture
http://www.wikidata.org/entity/Q1138737,lamp
http://www.wikidata.org/entity/Q997609,Lazy Susan
http://www.wikidata.org/entity/Q96141712,leather furniture
http://www.wikidata.org/entity/Q390539,lectern
http://www.wikidata.org/entity/Q89812737,Leito
http://www.wikidata.org/entity/Q65771943,Leito de casal
http://www.wikidata.org/entity/Q300702,Liège-Aachen Baroque furniture
http://www.wikidata.org/entity/Q6823022,library steps
http://www.wikidata.org/entity/Q29382930,Library Table
http://www.wikidata.org/entity/Q29383053,Linen Press
http://www.wikidata.org/entity/Q1758839,litter box
http://www.wikidata.org/entity/Q13099631,liturgical furniture
http://www.wikidata.org/entity/Q60752394,Louis XVI Style Candle Bracket
http://www.wikidata.org/entity/Q72200,Loveseat
http://www.wikidata.org/entity/Q107194219,low cabinet
http://www.wikidata.org/entity/Q89813229,Maçaneta
http://www.wikidata.org/entity/Q104854400,Macquarie Chest
http://www.wikidata.org/entity/Q24930790,Madame Guimard's furniture
http://www.wikidata.org/entity/Q107194252,magazine rack
http://www.wikidata.org/entity/Q60745718,Mantel
http://www.wikidata.org/entity/Q103305057,Marital stool with male and female caryatids
http://www.wikidata.org/entity/Q60752585,Marriage Chest
http://www.wikidata.org/entity/Q29383649,Mechanical table
http://www.wikidata.org/entity/Q29383609,Medal cabinet
http://www.wikidata.org/entity/Q107194248,medalist
http://www.wikidata.org/entity/Q89814487,Mesa
http://www.wikidata.org/entity/Q89814524,Mesa Consolo
http://www.wikidata.org/entity/Q89814533,Mesa Criado-Mudo
http://www.wikidata.org/entity/Q89814507,Mesa de Cavalete
http://www.wikidata.org/entity/Q89814509,Mesa de Centro
http://www.wikidata.org/entity/Q89814513,Mesa de Jogo
http://www.wikidata.org/entity/Q89814515,Mesa Infantil
http://www.wikidata.org/entity/Q89814550,Mesa Lavatório
http://www.wikidata.org/entity/Q61755680,Mesa: Criado-Mudo
http://www.wikidata.org/entity/Q61974356,Meuble mural décoré d'ombellifères
http://www.wikidata.org/entity/Q97621309,Ming-style furniture
http://www.wikidata.org/entity/Q106582784,Miniature chair from Skyros
http://www.wikidata.org/entity/Q107194235,mirror
http://www.wikidata.org/entity/Q60781129,Mirror with Ornamented Frame
http://www.wikidata.org/entity/Q2164259,mobile shelving
http://www.wikidata.org/entity/Q63057689,Mobilio Biblioteca
http://www.wikidata.org/entity/Q63077668,Mobilio sala tavola matematica
http://www.wikidata.org/entity/Q105426172,Namban screen
